model,r.squared,adj.r.squared,sigma,AIC,BIC,p.value
Baseline: Enrollment Only,0.05318047135405513,0.052239298860371375,0.23435290985805962,-60.4910139656713,-45.74384361977736,1.237950079544712e-13
Main: Institutional Characteristics,0.5800847456845126,0.5762979347738519,0.15669361223515124,-864.0510465635355,-809.978088628591,3.2857195570731215e-181
