earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment,sat_scaled,predicted_log_earnings,residuals
40628,6124,0.5795,938,27153,0.6298,0.2403,16600,Public,5,10.612212763059391,8.720134035412928,-1.654527922425118,10.70703178869191,-0.09481902563216389
54501,11635,0.8818,1258,28145,0.3402,0.6423,15832,Public,5,10.905974329106854,9.361859019615093,0.5030672150816529,11.00020747766537,-0.09423314855850506
61767,6591,0.6857,1319,27392,0.2464,0.6429,13905,Public,5,11.031124520244854,8.793612071589308,0.914358788168881,11.03453222642792,-0.0034077061830450634
34502,3477,0.9755,976,23586,0.7134,0.3034,17500,Public,5,10.44877257235369,8.154212694914229,-1.398313499846189,10.681218132231104,-0.23244555987739723
59221,33227,0.7665,1285,33382,0.184,0.7337,17986,Public,5,10.98903148770011,10.411148172958962,0.6851143048087867,11.125607393387531,-0.1365759056874081
44391,2542,0.9157,1093,21353,0.4235,0.326,13119,Public,5,10.700792025170644,7.841099765422119,-0.609442777695276,10.767196593447334,-0.06640456827668019
65337,26816,0.4592,1345,34919,0.1253,0.8195,17750,Public,5,11.08731377041872,10.196791293755965,1.0896633930913062,11.200687112129705,-0.11337334171096776
43457,1549,0.7307,1020,37626,0.4562,0.374,15000,Private Nonprofit,5,10.679527222435633,7.346010209913293,-1.101644168439008,10.71898472938005,-0.03945750694440589
49601,879,0.6949,1142,40908,0.4007,0.4798,20000,Private Nonprofit,5,10.811766273800105,6.779921907472252,-0.27906102226455165,10.847218732256447,-0.03545245845633143
45235,7036,0.7769,1059,24257,0.426,0.5472,14000,Public,5,10.71962640245984,8.85893722196655,-0.8386872610553704,10.83833671154762,-0.11871030908776958
44232,2974,0.4265,1015,22758,0.5817,0.347,13000,Public,5,10.697203788017768,7.99799931797973,-1.1353565924625513,10.73142445691111,-0.03422066889332875
43611,1307,0.7789,1220,41115,0.2565,0.5685,19000,Private Nonprofit,5,10.683064691094437,7.176254532017144,0.24685279250272377,10.931968792695837,-0.2489041016013878
58469,4206,0.8236,1201,57456,0.1109,0.7704,15750,Private Nonprofit,5,10.976251978235709,8.344505083590521,0.11874558121325925,11.048871710562349,-0.07261973232662626
49379,8879,0.7096,1147,25476,0.3796,0.5267,17750,Public,5,10.807280511580302,9.091556835986216,-0.24534859824100835,10.923941302273978,-0.11666079069366052
51500,782,0.7657,1120,39936,0.3161,0.521,21500,Private Nonprofit,5,10.849337086651827,6.663132695990803,-0.42739568796814215,10.866019295470752,-0.01668220881891177
