earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment,sat_scaled
72690,2049,0.8271,1241,76630,0.3645,0.6727,21250,Private Nonprofit,8,11.19395910247868,7.625595072132453,0.3884449734016056
89812,5287,0.6171,1295,80141,0.2796,0.7006,19000,Private Nonprofit,8,11.405473875652092,8.573195381531523,0.7525391528558733
56257,1294,0.9333,1150,53703,0.3172,0.5598,14419,Private Nonprofit,8,10.937685756768545,7.166265974133638,-0.2251211438268824
109183,6552,0.48,1426,82026,0.1127,0.8792,16845,Private Nonprofit,8,11.60078065251824,8.787678239039497,1.6358046622727076
77539,1113,0.3829,1492,87564,0.11,0.8254,11853,Private Nonprofit,8,11.258536314572249,7.01571242048723,2.080808659383479
92498,20443,0.0981,1495,90300,0.2224,0.9183,16112,Private Nonprofit,8,11.434942301645144,9.925444719888173,2.1010361137976052
55619,566,0.8309,1329,43426,0.2672,0.843,18000,Private Nonprofit,8,10.926280148482135,6.340359303727752,0.9817836362159676
64778,1302,0.7705,1328,71150,0.2003,0.7035,19343,Private Nonprofit,8,11.07872131852226,7.172424577124845,0.9750411514112589
64270,10519,0.7468,1116,24902,0.2616,0.4615,14500,Public,7,11.070848238365333,9.2610334862917,-0.4543656271869768
54659,8697,0.9735,1133,24595,0.2729,0.4693,12965,Public,7,10.908869164400691,9.070848393157585,-0.3397433855069296
69738,31939,0.7808,1357,37684,0.1449,0.7419,13000,Public,7,11.152500641871764,10.371614421769005,1.1705732107478102
65222,2014,0.1847,1365,86921,0.1445,0.8766,13400,Private Nonprofit,7,11.085552114313185,7.608374474380783,1.2245130891854794
97335,6155,0.6069,1412,40560,0.1357,0.8171,17500,Public,7,11.485913915723378,8.72518249495877,1.5414098750067864
71155,6025,0.7781,1355,78476,0.1425,0.756,18000,Private Nonprofit,7,11.17261587511776,8.703838719690246,1.1570882411383927
46349,3079,0.773,1111,27030,0.3492,0.3564,9000,Public,7,10.743954995788227,8.03268487596762,-0.4880780512105201
45823,8143,0.8203,1055,24046,0.2809,0.4061,11000,Public,7,10.732541427456502,9.005036738790304,-0.865657200274205
52093,15002,0.988,1019,24622,0.3551,0.3154,12500,Public,7,10.860785861708989,9.616005460087012,-1.1083866532437168
52231,5598,0.8585,1082,29254,0.2618,0.5124,13805,Public,7,10.863431467331688,8.630343289348893,-0.6836101105470712
72105,2627,0.8646,1220,54800,0.3183,0.6102,19750,Private Nonprofit,7,11.185878668996171,7.873978379604501,0.24685279250272377
55563,3042,0.949,1120,23937,0.2857,0.3973,14475,Public,7,10.925272791090912,8.02059914989697,-0.42739568796814215
46833,1586,0.9971,1230,25736,0.1202,0.505,12000,Public,7,10.754343361624777,7.369600720526409,0.31427764054981033
58562,7822,0.7333,1080,24870,0.3836,0.4844,16750,Public,1,10.977841301057458,8.96482339168508,-0.6970950801564886
75001,1937,0.3704,1432,84623,0.1419,0.8205,20000,Private Nonprofit,1,11.225256725762891,7.569411792450712,1.6762595711009596
73997,19835,0.5239,1348,39426,0.2538,0.8329,18610,Public,1,11.211779830823977,9.895253747609024,1.109890847505432
56469,3418,0.8298,1160,31983,0.2868,0.5752,18500,Public,1,10.941447093992288,8.137103389639302,-0.1576962957797958
88794,5373,0.3329,1335,76074,0.0692,0.843,23251,Private Nonprofit,1,11.394074359129904,8.589327789175437,1.0222385450442195
60823,4146,0.9575,1219,64729,0.3304,0.5438,19500,Private Nonprofit,1,11.01572328589452,8.330140460246382,0.2401103076980151
60126,4841,0.6038,1160,66962,0.3244,0.6307,20475,Private Nonprofit,1,11.004197639286383,8.485083137498004,-0.1576962957797958
83759,6531,0.7215,1242,72215,0.1617,0.757,21500,Private Nonprofit,1,11.33569890660018,8.784468454090355,0.3951874582063143
59908,838,0.7859,950,59900,0.3265,0.6376,24000,Private Nonprofit,1,11.000565331112286,6.732210706467206,-1.5736181047686142
90779,2146,0.2925,1415,87840,0.1377,0.8377,21000,Private Nonprofit,1,11.416183260307571,7.671826797878781,1.5616373294209123
73897,3067,0.1649,1501,89020,0.1419,0.9264,13824,Private Nonprofit,1,11.210427510713089,8.028781162487148,2.141491022625857
59115,3511,0.8701,1110,24877,0.3515,0.5176,17002,Public,1,10.987239978297216,8.163940954755008,-0.49482053601522874
100533,6758,0.0387,1534,88300,0.2039,0.9574,11648,Private Nonprofit,1,11.518241310792463,8.818630229100354,2.3639930211812428
49307,4398,0.4658,940,27939,0.4853,0.391,17500,Public,2,10.805821337781078,8.389132521348719,-1.641042952815701
72950,19071,0.706,1292,30952,0.1612,0.8055,21000,Public,2,11.197529553950933,9.855976569865076,0.7323116984417473
77370,7266,0.6196,1381,76058,0.1388,0.7549,19500,Private Nonprofit,2,11.2563543875435,8.891098830616636,1.3323928460608179
43101,812,0.5806,868,40374,0.5789,0.4726,12750,Private Nonprofit,2,10.67130147767883,6.70073110954781,-2.1265018587547244
90873,11182,0.4709,1433,83856,0.1582,0.8398,19500,Private Nonprofit,2,11.41721820634054,9.322150047028188,1.6830020559056682
103494,7569,0.1291,1487,88741,0.1012,0.9481,13500,Private Nonprofit,2,11.547268918992684,8.931948346431495,2.047096235359936
63066,10108,0.4134,1213,54630,0.4,0.6996,19200,Private Nonprofit,2,11.05193707605141,9.221181395154058,0.19965539886976313
