earnings,enrollment,admission_rate,sat_avg,avg_cost,pell_pct,completion_rate,median_debt,CONTROL,REGION,log_earnings,log_enrollment
36857,6374,NA,NA,15868,0.4072,NA,4500,1,6,10.514800838871937,8.760139370026627
59979,42537,0.8614,1246,29423,0.257,0.6752,13750,1,6,11.001749779939942,10.658153073074491
40513,4912,NA,NA,10720,0.2957,NA,6157,1,6,10.609378189243436,8.499640032168648
26269,76,NA,NA,NA,0.6207,NA,7000,3,6,10.176144815719798,4.343805421853684
38033,3096,NA,NA,14342,0.3815,0.3044,5500,1,6,10.546209482901759,8.038189179973203
23921,104,NA,NA,NA,0.619,NA,7851,3,6,10.082512013210788,4.653960350157523
30803,298,NA,NA,NA,0.4504,NA,6312,3,6,10.335367366815744,5.700443573390687
38018,2643,NA,NA,16696,0.1594,0.4194,NA,1,6,10.545815010766098,7.880048200971577
84131,3218,0.7658,1250,62798,0.1825,0.6776,14250,2,6,11.340130386840555,8.076826031298808
43108,11975,NA,NA,18037,0.2694,0.1598,4500,1,6,10.671463873716723,9.390659926099465
42186,73371,0.7891,1077,32702,0.4594,0.4346,12500,3,6,10.649843691427217,11.20329767043424
46147,4538,NA,NA,19314,0.2754,0.2881,4500,1,6,10.739587232400936,8.420462002456466
44034,14460,NA,NA,18194,0.2097,0.1564,4500,1,6,10.692717341773118,9.579210649614792
35522,3216,NA,NA,11837,0.3607,NA,8000,1,6,10.477907501827271,8.076204527239026
48341,527,NA,NA,NA,0.4732,NA,10247,3,6,10.786035340845325,6.269096283706261
29188,1375,NA,NA,11923,0.4333,0.1259,NA,1,6,10.281512944885511,7.226936018493289
54384,22903,0.8961,NA,29933,0.3126,0.6132,12916,1,6,10.903825271935897,10.039066846777951
34199,1010,NA,NA,14263,0.1278,0.2188,NA,1,6,10.439951682857124,6.918695219020472
40870,8555,NA,NA,18594,0.2724,0.1358,5250,1,6,10.618151576558324,9.054388070202297
39810,14242,NA,NA,9851,0.3451,NA,4500,1,6,10.591873415994362,9.564020836934587
38673,2567,NA,NA,NA,0.4981,0.7229,9500,3,6,10.562896961111214,7.850882664809852
30917,562,NA,NA,NA,0.5881,NA,5250,3,6,10.33906147341461,6.333279628139691
42359,219,0.9451,NA,48532,0.4163,0.5556,12500,2,6,10.653936192260108,5.393627546352362
52953,1346,NA,NA,NA,0.6186,NA,7917,3,6,10.877160006648388,7.205635176410364
41015,11668,NA,NA,13425,0.0682,0.0851,4375,1,6,10.62169313243685,9.364691031806107
35209,21,NA,NA,NA,0.1739,NA,7307,3,6,10.469057010723345,3.091042453358316
47905,5377,NA,NA,19281,0.1434,0.1732,4500,1,6,10.776975162084973,8.59007183682881
39825,3645,NA,NA,18898,0.2964,0.1632,4500,1,6,10.592250134778249,8.201385955238608
51612,1165,0.7062,NA,54792,0.3388,0.3987,6251,2,6,10.851509482571737,7.061334366910438
52873,1957,NA,NA,NA,0.4889,NA,11183,3,6,10.875648090574092,7.579678823090456
39890,3988,NA,NA,14988,0.2097,0.3353,6762,1,6,10.593880944899452,8.291295851905407
45265,4949,0.5878,1049,22519,0.4118,0.4165,14500,1,5,10.72028938590954,8.507142855562735
73827,1571,NA,NA,NA,0.2775,NA,13000,1,5,11.20947979733897,7.360103972989152
